# Spezifikationen, Quelle geprueft. Format:
# MARKE | Modell | Groesse | span_cm | area_cm2 | thickness_mm | Notiz | Quelle
AlpineFoil | RSX | 570 | 86.0 | 570 | - | AR ~13,1; NICHT dasselbe wie RSX ULTRA AR17 | https://www.alpinefoil.com/en/kitefoil-windfoil-store/hydrofoil-wings/wing-rsx-570.html
MFC | HYDROS II | FW1250 | 72.26 | 1250 | - | AR 3,17 — ACHTUNG: FW1250 gibt es auch bei HELIOS mit anderen Werten | https://mfchawaii.com/shop/hydrofoil/parts/front-wings/hydros-ii-fw1250/
MFC | HYDROS II | FW1400 | 78.7 | 1400 | - | Profiltiefe 23 cm, AR 3,42 | https://mfchawaii.com/shop/hydrofoil/parts/front-wings/hydros-ii-fw1400/
MFC | HYDROS II | FW1600 | 85 | - | - | Seite nennt NUR Spannweite und Gewicht, keine Flaeche — trotz des Namens nicht angenommen | https://mfchawaii.com/shop/hydrofoil/hydros-ii-fw1600-pack
MFC | HELIOS | FW1250 | 81.4 | 1250 | - | AR 5,61 — gleiche Nummer wie bei HYDROS II, anderer Fluegel | https://mfchawaii.com/shop/hydrofoil/parts/front-wings/helios-fw1250/
MFC | HELIOS | FW1440 | 87.4 | 1440 | - | AR 5,53 | https://mfchawaii.com/shop/hydrofoil/helios-fw1440/
MFC | HELIOS | FW1800 | 93.43 | 1800 | - | AR 5,19 | https://mfchawaii.com/shop/hydrofoil/parts/front-wings/helios-fw1800/
Aeromod | Wingfoil V3 | 500 R | 67 | 500 | - | AR 9 | https://www.aeromod.fr/wingfoil-v3
Aeromod | Wingfoil V3 | 686 R | 82 | 686 | - | AR 9,8 | https://www.aeromod.fr/wingfoil-v3
Aeromod | Wingfoil V3 | 950 R | 97 | 950 | - | AR 9,9 | https://www.aeromod.fr/wingfoil-v3
Aeromod | Wingfoil V3 | 1320 NJ | 115 | 1320 | - | "NJ" = No Jump, GROESSENKUERZEL der V3, kein eigenes Modell; AR 10 | https://www.aeromod.fr/wingfoil-v3
Aeromod | Wingfoil V2 | Free XL | 102 | 1240 | - | einzige Groesse mit Zahlen auf der Wingfoil-V2-Seite selbst | https://www.aeromod.fr/wingfoil-v2/
Sabfoil | Balz Mueller | 707 | 70.7 | 661 | 14.5 | Flaeche als "Surface", nicht projiziert/flach getrennt | https://sabfoil.com/en/products/balz-w707
Sabfoil | Balz Mueller | 808 | 80.8 | 792 | 15.3 | wie oben | https://sabfoil.com/en/products/balz-w808
Sabfoil | Balz Mueller | 909 | 90.9 | 1000 | 17 | wie oben | https://sabfoil.com/en/products/balz-w909
Sabfoil | Balz Mueller | 969 | 96.9 | 1230 | 19 | wie oben | https://sabfoil.com/en/products/balz-w969
TAAROA | LA | LA900 | 80.0 | 900 | - | "Wing surface" wie veroeffentlicht | https://www.taaroa-hydrofoil.com/shop/wgfw1808frr-front-wing-la900-74
TAAROA | LA | LA1250 | 80.0 | 1250 | - | "Wing surface" wie veroeffentlicht | https://www.taaroa-hydrofoil.com/shop/wgfw2125xup-front-wing-la1250-149
Takoon | HS-Glide | 600 | 73.7 | 600 | 12 | ausgelaufen, Seite 404; Zahlen aus dem Archiv der Herstellerseite | https://web.archive.org/web/20240420111944/https://takoon.com/products/foil-hs-glide
Armstrong | MA Mk II | 490 | 63.2 | 490 | - | AR 8,0 (alle Groessen); AELTERE MA-Generation ist eine andere Produktreihe | https://armstrongfoils.com/collections/front-foils/products/ma-mk-ii-front-foil
Armstrong | MA Mk II | 590 | 69.0 | 590 | - | AR 8,0 | https://armstrongfoils.com/collections/front-foils/products/ma-mk-ii-front-foil
Armstrong | MA Mk II | 690 | 76.7 | 690 | - | AR 8,0 | https://armstrongfoils.com/collections/front-foils/products/ma-mk-ii-front-foil
Armstrong | MA Mk II | 790 | 81.7 | 790 | - | AR 8,0 | https://armstrongfoils.com/collections/front-foils/products/ma-mk-ii-front-foil
Armstrong | MA Mk II | 890 | 86.0 | 890 | - | AR 8,0 | https://armstrongfoils.com/collections/front-foils/products/ma-mk-ii-front-foil
Armstrong | MA Mk II | 990 | 90.6 | 990 | - | AR 8,0 | https://armstrongfoils.com/collections/front-foils/products/ma-mk-ii-front-foil
Armstrong | MA Mk II | 1190 | 99.0 | 1190 | - | AR 8,0 | https://armstrongfoils.com/collections/front-foils/products/ma-mk-ii-front-foil
Armstrong | MA Mk II | 1390 | 106.0 | 1390 | - | AR 8,0 | https://armstrongfoils.com/collections/front-foils/products/ma-mk-ii-front-foil
Armstrong | S1 | 1250 | 84.8 | 1250 | - | AR 5,7; Textabelle auf der Herstellerseite | https://armstrongfoils.com/products/s1-front-foil
Armstrong | S1 | 1550 | 90.5 | 1550 | - | AR 5,3 | https://armstrongfoils.com/products/s1-front-foil
Armstrong | S1 | 1850 | 96.5 | 1850 | - | AR 5,0 | https://armstrongfoils.com/products/s1-front-foil
Armstrong | S1 | 2450 | 105.4 | 2450 | - | AR 4,8 | https://armstrongfoils.com/products/s1-front-foil
AXIS | BSC | 740 | 74.0 | 844 | - | projizierte Flaeche (tatsaechlich 883), AR 6,49 | https://www.realwatersports.com/products/axis-broad-spectrum-carve-bsc-front-wing
AXIS | BSC | 810 | 81.0 | 1022 | - | projiziert (tatsaechlich 1070), AR 6,42 | https://www.realwatersports.com/products/axis-broad-spectrum-carve-bsc-front-wing
AXIS | BSC | 890 | 89.0 | 1232 | - | projiziert (tatsaechlich 1290), AR 6,43 | https://www.realwatersports.com/products/axis-broad-spectrum-carve-bsc-front-wing
AXIS | BSC | 970 | 97.0 | 1501 | - | projiziert (tatsaechlich 1572), AR 6,27 | https://www.realwatersports.com/products/axis-broad-spectrum-carve-bsc-front-wing
AXIS | BSC | 1060 | 106.0 | 1726 | - | projiziert (tatsaechlich 1803), AR 6,51 | https://www.realwatersports.com/products/axis-broad-spectrum-carve-bsc-front-wing
AXIS | BSC | 1120 | 112.0 | 2007 | - | projiziert (tatsaechlich 2102), AR 6,25 | https://www.realwatersports.com/products/axis-broad-spectrum-carve-bsc-front-wing
AXIS | Spitfire | 780 | 78.0 | 886 | - | projiziert (tatsaechlich 902), AR 6,87 | https://www.realwatersports.com/products/axis-spitfire-spf-front-wing
AXIS | Spitfire | 840 | 84.0 | 988 | - | projiziert (tatsaechlich 1006), AR 7,14 | https://www.realwatersports.com/products/axis-spitfire-spf-front-wing
AXIS | Spitfire | 900 | 90.0 | 1080 | - | projiziert (tatsaechlich 1099), AR 7,25 | https://www.realwatersports.com/products/axis-spitfire-spf-front-wing
AXIS | Spitfire | 960 | 96.0 | 1175 | - | projiziert (tatsaechlich 1196), AR 7,84 | https://www.realwatersports.com/products/axis-spitfire-spf-front-wing
AXIS | Spitfire | 1030 | 103.0 | 1285 | - | projiziert (tatsaechlich 1308), AR 8,26 | https://www.realwatersports.com/products/axis-spitfire-spf-front-wing
AXIS | Spitfire | 1100 | 110.0 | 1398 | - | projiziert (tatsaechlich 1423), AR 8,66 | https://www.realwatersports.com/products/axis-spitfire-spf-front-wing
CORE | CFS Spectrum | 850 | 76 | 850 | - | Herstellertabelle als Text; Groessencode = Flaeche, NICHT Spannweite | https://ridecore.com/us/foil/foils/cfs-spectrum
CORE | CFS Spectrum | 1250 | 89 | 1250 | - | AR 6,3 | https://ridecore.com/us/foil/foils/cfs-spectrum
CORE | CFS Spectrum | 1550 | 91 | 1550 | - | AR 5,3 | https://ridecore.com/us/foil/foils/cfs-spectrum
CORE | CFS Spectrum | 1850 | 97 | 1850 | - | AR 5,1 | https://ridecore.com/us/foil/foils/cfs-spectrum
CORE | CFS Spectrum | 2150 | 104 | 2150 | - | AR 5,0 | https://ridecore.com/us/foil/foils/cfs-spectrum
CORE | CFS ELXR | 650 | 72 | 650 | - | Herstellertabelle als Text | https://ridecore.com/us/foil/foils/cfs-elxr
CORE | CFS ELXR | 750 | 78.5 | 750 | - | - | https://ridecore.com/us/foil/foils/cfs-elxr
CORE | CFS ELXR | 850 | 86.5 | 850 | - | - | https://ridecore.com/us/foil/foils/cfs-elxr
CORE | CFS ELXR | 950 | 91.5 | 950 | - | - | https://ridecore.com/us/foil/foils/cfs-elxr
CORE | CFS ELXR | 1050 | 96 | 1050 | - | - | https://ridecore.com/us/foil/foils/cfs-elxr
CORE | CFS ELXR | 1250 | 100 | 1250 | - | - | https://ridecore.com/us/foil/foils/cfs-elxr
